,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,4,8,ヤマニンウルス,牡2,50,今村聖奈,1:44.3,,2.7,1.0,536(0),[西] 斉藤崇史
1,2,5,10,ゴライコウ,牡2,54,幸英明,1:48.6,大,5.9,3.0,500(0),[西] 新谷功一
2,3,1,2,オーヴァーストーム,牡2,54,団野大成,1:48.8,3/4,8.1,4.0,492(0),[西] 佐々木晶
3,4,3,5,ヨドノストロング,牡2,54,国分優作,1:49.7,5,82.2,12.0,456(0),[西] 大根田裕
4,5,2,4,ダイメイセブン,牡2,54,藤岡康太,1:50.7,6,18.1,5.0,476(0),[西] 本田優
5,6,2,3,ハーベストデイ,牡2,54,北村友一,1:50.8,1/2,21.0,7.0,482(0),[西] 松下武士
6,7,8,15,スナークドリアン,牡2,54,松若風馬,1:50.8,ハナ,30.9,11.0,518(0),[西] 川村禎彦
7,8,7,14,イストロス,牡2,54,ホー,1:52.1,8,5.2,2.0,518(0),[西] 音無秀孝
8,9,6,12,メイケイビューティ,牝2,54,酒井学,1:52.6,3,95.8,13.0,484(0),[西] 木原一良
9,10,4,7,ゴッドスピードレオ,牡2,54,和田竜二,1:52.6,アタマ,18.7,6.0,496(0),[西] 宮本博
10,11,3,6,ラキッシュ,牡2,50,永島まな,1:52.7,クビ,30.6,10.0,510(0),[西] 平田修
11,12,7,13,ハクアイゼウス,牡2,52,小沢大仁,1:53.1,2.1/2,135.6,14.0,460(0),[西] 松永昌博
12,13,1,1,ニホンピロビート,牡2,54,高倉稜,1:53.4,1.1/2,190.2,15.0,468(0),[西] 服部利之
13,14,5,9,スマートアリオン,牡2,54,太宰啓介,1:53.9,3,21.7,8.0,480(0),[西] 吉田直弘
14,15,8,16,レッツゴーローズ,牝2,54,富田暁,1:58.2,大,22.3,9.0,480(0),[西] 大橋勇樹
15,除,6,11,テングクラブ,牡2,51,角田大河,,,---,,484(0),[西] 角田晃一
