,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,7,12,メイショウコギク,牝2,54,和田竜二,1:08.6,,2.8,1,424(0),[西] 南井克巳
1,2,6,9,ニシノコウダイ,牡2,54,幸英明,1:09.6,6,9.6,5,468(0),[西] 長谷川浩
2,3,3,3,パーペチュアル,牡2,54,北村友一,1:09.6,クビ,7.5,3,480(0),[西] 宮本博
3,4,4,6,イナウィンク,牡2,54,ホー,1:09.6,アタマ,20.5,8,428(0),[西] 新谷功一
4,5,6,10,バールデュヴァン,牡2,54,西村淳也,1:09.7,クビ,4.2,2,506(0),[西] 浜田多実
5,6,7,11,スリーディプテー,牡2,54,藤岡康太,1:09.9,1.1/2,18.2,7,462(0),[西] 高橋義忠
6,7,5,8,パガファンタス,牡2,51,角田大河,1:10.0,3/4,11.5,6,488(0),[西] 角田晃一
7,8,1,1,シュガープラム,牝2,50,永島まな,1:10.1,3/4,51.0,9,432(0),[西] 高橋康之
8,9,8,14,ミュラー,牡2,52,松本大輝,1:10.2,クビ,71.2,10,442(0),[西] 新谷功一
9,10,5,7,フレッチャネーラ,牡2,54,高倉稜,1:10.2,アタマ,121.9,13,466(0),[西] 荒川義之
10,11,4,5,ホワイトキャンバス,牡2,50,今村聖奈,1:10.2,ハナ,9.4,4,474(0),[西] 小林真也
11,12,2,2,ヨシノレジェンド,牝2,54,富田暁,1:10.3,クビ,97.3,11,380(0),[西] 吉田直弘
12,13,8,13,ゼンノエヴェック,牡2,54,田中勝春,1:10.7,2.1/2,106.0,12,478(0),[東] 小手川準
13,14,3,4,ニホンピロパークス,牝2,51,服部寿希,1:12.7,大,179.4,14,398(0),[西] 服部利之
