,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,6,11,ピースキーパー,牝3,54,西村淳也,1:07.1,,13.2,7,436(-8),[西] 奥村豊
1,2,8,16,ジョーリベリカ,牡3,56,城戸義政,1:07.4,2,26.9,10,456(0),[西] 清水久詞
2,3,3,6,ダイヤモンドフジ,牡3,56,富田暁,1:07.6,1.1/4,11.1,6,448(-12),[西] 宮本博
3,4,4,8,ダンツキタイ,牝3,54,秋山真一,1:07.7,1/2,5.6,3,478(-2),[西] 谷潔
4,5,4,7,マテンロウメーヴェ,牝3,54,団野大成,1:07.8,1/2,19.6,8,496(-2),[西] 藤原英昭
5,6,2,3,タマモテラコッタ,牡3,56,和田竜二,1:07.9,1/2,4.3,2,486(+2),[西] 南井克巳
6,7,2,4,タガノタンゴ,牡3,56,川田将雅,1:08.0,1/2,4.1,1,436(-2),[西] 西園正都
7,8,5,9,キルステン,牝3,52,小沢大仁,1:08.1,クビ,63.7,12,456(+2),[西] 浜田多実
8,9,8,18,チベリウス,牡3,56,松若風馬,1:08.1,ハナ,8.0,4,514(-4),[西] 橋口慎介
9,10,6,12,ストームサージ,セ3,56,ホー,1:08.2,1,25.7,9,472(-4),[西] 高橋義忠
10,11,8,17,テーオーコンドル,セ3,52,今村聖奈,1:08.3,3/4,9.0,5,460(+6),[西] 宮徹
11,12,3,5,アスターデカゴン,牡3,54,松本大輝,1:08.6,1.3/4,49.1,11,478(+2),[西] 中竹和也
12,13,5,10,ミエノアラジン,牡3,56,長岡禎仁,1:08.8,1,206.3,16,440(0),[西] 高橋亮
13,14,7,13,ヴラマンク,牡3,53,角田大河,1:08.9,3/4,247.0,18,452(-18),[西] 角田晃一
14,15,7,14,タツセイリュウ,牡3,56,幸英明,1:09.1,1.1/4,137.0,14,480(+8),[西] 鮫島一歩
15,16,7,15,オクトパシー,牝3,50,永島まな,1:09.4,2,105.8,13,406(-4),[西] 飯田祐史
16,17,1,1,テイエムウイン,牡3,56,酒井学,1:09.7,1.1/2,225.9,17,436(-20),[西] 飯田雄三
17,18,1,2,アリュシナシオン,牡3,56,国分恭介,1:14.8,大,143.8,15,508(0),[西] 小崎憲
