,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,6,10,サンライズホーク,セ3,56,国分優作,0:58.3,,158.4,13,490(-12),[西] 牧浦充徳
1,2,8,14,シックザイン,牡3,53,角田大河,0:58.9,3.1/2,11.5,7,460(0),[西] 角田晃一
2,3,4,6,ユーコバローズ,牝3,54,坂井瑠星,0:58.9,クビ,14.3,8,432(+10),[西] 辻野泰之
3,4,6,9,キャンドルベリー,牝3,54,富田暁,0:59.0,3/4,31.3,9,428(-4),[西] 辻野泰之
4,5,7,12,テイエムキバイモン,牡3,55,小沢大仁,0:59.2,1.1/4,5.3,2,480(-2),[西] 五十嵐忠
5,6,3,4,レッドアクトゥール,牡3,52,今村聖奈,0:59.3,クビ,3.9,1,446(0),[西] 須貝尚介
6,7,1,1,サンライズタイタン,牡3,56,松山弘平,0:59.3,ハナ,8.3,6,516(-2),[西] 音無秀孝
7,8,5,8,ココシルフィード,牝3,54,松若風馬,0:59.3,クビ,5.6,3,442(-4),[西] 奥村豊
8,9,5,7,フィオリーカズマ,セ3,54,松本大輝,0:59.3,ハナ,7.4,5,466(-6),[西] 安田翔伍
9,10,2,2,ダンツカプリ,牡3,54,山田敬士,0:59.5,1,98.4,11,526(-14),[西] 谷潔
10,11,7,11,デルマシルフ,牝3,54,和田竜二,0:59.5,クビ,6.9,4,458(-6),[西] 畑端省吾
11,12,8,13,リアルファンタジア,牝3,54,団野大成,0:59.5,クビ,61.9,10,452(0),[西] 牧浦充徳
12,13,3,3,クイーンイレブン,牝3,50,永島まな,1:00.4,5,183.3,14,460(-18),[西] 藤沢則雄
13,14,4,5,デジタイゼーション,牝3,53,亀田温心,1:00.6,1.1/2,120.9,12,490(0),[西] 藤沢則雄
