,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,2,2,スカパラダイス,牡2,50,今村聖奈,2:02.9,,6.4,3,454(0),[西] 寺島良
1,2,8,9,インクルードダイヤ,牝2,54,富田暁,2:03.4,3,2.9,2,450(0),[西] 武英智
2,3,3,3,ゼットスティール,牡2,54,和田竜二,2:03.5,クビ,58.8,8,510(0),[西] 川村禎彦
3,4,7,7,ラストレムナント,牡2,54,藤岡康太,2:03.6,3/4,8.0,4,466(0),[西] 上村洋行
4,5,1,1,キリンジ,牡2,54,西村淳也,2:03.7,1/2,23.6,6,482(0),[西] 佐々木晶
5,6,4,4,マーレイン,牝2,54,秋山真一,2:03.7,クビ,60.7,9,472(0),[西] 高橋亮
6,7,6,6,ローゼンカヴァリエ,牡2,54,幸英明,2:04.0,1.3/4,12.9,5,488(0),[西] 渡辺薫彦
7,8,8,8,マテンロウレガシー,牡2,54,太宰啓介,2:04.9,5,26.1,7,470(0),[西] 長谷川浩
8,9,5,5,スティーロポリス,牡2,54,鮫島克駿,2:05.2,1.3/4,2.6,1,500(0),[西] 西村真幸
