,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,16,ワイルドベティ,牝3,52,小沢大仁,1:45.5,,4.1,2,420(+4),[西] 今野貞一
1,2,3,5,カラーインデックス,牝3,54,西村淳也,1:45.7,1.1/4,16.5,6,502(-4),[西] 長谷川浩
2,3,4,7,サクラトップラン,牝3,54,北村友一,1:45.7,ハナ,2.9,1,444(+6),[西] 中尾秀正
3,4,1,1,メトリカルセオリー,牝3,50,今村聖奈,1:46.4,4,33.3,9,472(+6),[西] 寺島良
4,5,4,8,エイシンブラボー,牝3,51,角田大河,1:46.5,3/4,4.6,3,406(-2),[西] 渡辺薫彦
5,6,7,13,エイシンスマック,牝3,54,富田暁,1:46.5,クビ,34.0,10,436(+6),[西] 野中賢二
6,7,3,6,メイショウハクギン,牝3,54,太宰啓介,1:46.6,1/2,138.2,16,478(0),[西] 高橋亮
7,8,2,4,ハルキファイト,牝3,54,田中健,1:46.8,1,58.2,11,464(-2),[西] 中村直也
8,9,1,2,クリノビビ,牝3,54,森裕太朗,1:47.1,1.3/4,100.8,15,430(-14),[西] 谷潔
9,10,5,10,イドロボニータ,牝3,54,松若風馬,1:47.2,1/2,74.7,12,466(-4),[西] 飯田雄三
10,11,5,9,ミティエラ,牝3,54,藤岡康太,1:47.7,3,7.4,4,500(0),[西] 上村洋行
11,12,6,12,オゼイユ,牝3,54,酒井学,1:48.5,5,26.1,7,450(+4),[西] 四位洋文
12,13,2,3,ハーランズセンス,牝3,50,永島まな,1:49.7,7,75.0,13,414(+2),[西] 橋口慎介
13,14,8,15,ルクスアモール,牝3,54,和田竜二,1:50.0,1.3/4,99.3,14,472(+4),[西] 大久保龍
14,15,7,14,スクリーンアピール,牝3,54,長岡禎仁,1:50.3,1.1/2,30.5,8,442(+14),[西] 奥村豊
15,中,6,11,ミスティファイ,牝3,54,松山弘平,,,16.2,5,436(+4),[西] 石坂公一
