,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,11,トールキン,牡2,54,松山弘平,1:07.9,,1.2,1,484(-4),[西] 西園正都
1,2,6,8,ペイシャフラワー,牝2,50,永島まな,1:08.3,2.1/2,19.5,4,456(+2),[西] 高橋康之
2,3,7,9,スプレンディダ,牝2,54,団野大成,1:08.5,1.1/4,30.7,6,424(+2),[西] 茶木太樹
3,4,3,3,ウィルオブラガー,牡2,54,西村淳也,1:08.6,3/4,18.0,3,484(-8),[西] 清水久詞
4,5,7,10,コスモアリス,牝2,52,松本大輝,1:08.8,3/4,217.3,11,432(+6),[西] 吉田直弘
5,6,1,1,プライスレス,牝2,53,亀田温心,1:08.8,クビ,47.9,8,446(0),[西] 加用正
6,7,4,4,シュハリ,牡2,51,角田大河,1:08.9,クビ,69.0,10,404(-4),[西] 鈴木孝志
7,8,5,5,スカイピース,牝2,54,和田竜二,1:09.2,2,30.7,5,448(-14),[西] 宮本博
8,9,6,7,メイショウカジキ,牡2,50,今村聖奈,1:09.2,クビ,33.8,7,448(0),[西] 梅田智之
9,10,5,6,エスオールージュ,牝2,54,森裕太朗,1:09.3,アタマ,321.3,12,444(-4),[西] 藤沢則雄
10,11,2,2,プリティジェニー,牝2,54,岩田望来,1:09.9,3.1/2,6.5,2,402(-6),[西] 西村真幸
11,12,8,12,クールジャーマン,牡2,54,川須栄彦,1:10.1,1.1/4,52.4,9,464(-4),[西] 松下武士
