,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,1,1,アナゴサン,牡4,57,松山弘平,1:47.7,,3.5,2,468(0),[西] 牧田和弥
1,2,2,2,ヤマニンサルバム,牡3,54,坂井瑠星,1:47.7,ハナ,3.3,1,494(+4),[西] 中村直也
2,3,7,7,ホウオウジョルノ,牡4,57,北村友一,1:48.2,3,4.5,3,466(-2),[西] 安田翔伍
3,4,7,8,タイクーンバゴ,牡5,57,小沢大仁,1:48.2,クビ,70.2,9,494(-4),[西] 浜田多実
4,5,8,10,オラヴェリタス,牡3,54,西村淳也,1:48.3,1/2,6.2,4,498(0),[西] 寺島良
5,6,4,4,ムーンライト,牝5,55,和田竜二,1:48.4,クビ,15.5,6,478(0),[西] 清水久詞
6,7,6,6,トーホウディアス,牡4,57,今村聖奈,1:48.4,ハナ,7.2,5,436(-12),[西] 南井克巳
7,8,3,3,メイショウカクウン,牡7,57,角田大河,1:49.0,3.1/2,19.9,7,454(-4),[西] 石橋守
8,9,8,9,イベリア,牡7,57,富田暁,1:49.0,クビ,80.2,10,492(-6),[西] 橋田満
9,10,5,5,カケル,牡5,57,国分優作,1:49.0,ハナ,50.8,8,490(-8),[西] 大根田裕
