,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,14,アルムファーツリー,牝4,55,ホー,1:07.8,,14.4,8,452(-2),[西] 川村禎彦
1,2,5,8,テンメジャーガール,牝3,52,団野大成,1:07.8,アタマ,11.5,6,496(+10),[西] 高柳大輔
2,3,4,7,ナリタローゼ,牝4,55,酒井学,1:07.9,1/2,26.2,9,478(-2),[西] 高橋亮
3,4,6,10,ドリームアゲイン,牝4,55,幸英明,1:08.0,3/4,9.4,5,474(+6),[西] 田中克典
4,5,2,3,メイショウヒゾッコ,牝4,52,角田大河,1:08.1,クビ,61.5,11,416(+6),[西] 石橋守
5,6,6,11,ティントリップ,牝3,52,松若風馬,1:08.1,ハナ,4.7,2,480(-10),[西] 杉山晴紀
6,7,7,12,モズジャックポット,牡3,54,国分恭介,1:08.1,ハナ,106.1,13,470(0),[西] 牧浦充徳
7,8,3,5,タイセイブリリオ,牡3,54,藤岡康太,1:08.2,1/2,7.3,4,470(+4),[西] 大橋勇樹
8,9,3,4,インプロバイザー,牡3,54,松山弘平,1:08.5,2,5.6,3,460(-6),[西] 音無秀孝
9,10,1,1,セレッソフレイム,牝4,52,服部寿希,1:08.6,3/4,336.4,15,442(+2),[西] 服部利之
10,11,4,6,ヒメノジャッカル,牡5,53,永島まな,1:08.9,1.3/4,260.3,14,450(+2),[西] 庄野靖志
11,12,5,9,プレヴォール,牡3,52,小沢大仁,1:09.0,クビ,65.9,12,464(+2),[西] 中村直也
12,13,8,15,モラトリアム,牝4,55,和田竜二,1:09.1,1/2,12.8,7,450(+4),[西] 河内洋
13,14,7,13,グランデレジーナ,牝3,52,北村友一,1:09.2,1,42.9,10,436(+6),[西] 藤岡健一
14,15,2,2,ポメランチェ,牝3,49,今村聖奈,1:09.4,1.1/4,3.6,1,396(-2),[西] 牧田和弥
