,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,3,3,コナコースト,牝2,54,鮫島克駿,1:49.1,,2.2,1,472(0),[西] 清水久詞
1,2,5,5,メテオリート,牝2,54,西村淳也,1:49.2,クビ,6.2,3,484(0),[西] 吉岡辰弥
2,3,8,9,エールミネルヴァ,牝2,54,松若風馬,1:49.4,1.1/4,17.5,6,456(0),[西] 橋口慎介
3,4,8,10,メアリー,牝2,54,団野大成,1:50.0,4,90.9,9,468(0),[西] 浜田多実
4,5,2,2,アンジェリカル,牝2,54,富田暁,1:50.1,クビ,4.0,2,440(0),[西] 武英智
5,6,7,8,サトノラピス,牝2,54,藤岡康太,1:50.5,2.1/2,13.1,5,456(0),[西] 須貝尚介
6,7,7,7,リリーバローズ,牝2,50,今村聖奈,1:50.5,アタマ,6.2,4,446(0),[西] 寺島良
7,8,1,1,エレガントジェシー,牝2,52,松本大輝,1:51.2,4,125.9,10,446(0),[西] 吉田直弘
8,9,6,6,ダンザンレーヴ,牝2,54,藤岡佑介,1:51.8,3.1/2,48.6,7,392(0),[西] 吉田直弘
9,10,4,4,キャリアウーマン,牝2,54,幸英明,1:53.0,7,56.6,8,444(0),[西] 鈴木孝志
