,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,5,9,ニホンピロハーバー,牡4,57,藤岡康太,1:45.2,,19.4,7,494(+4),[西] 安達昭夫
1,2,1,2,シゲルカセイ,牡5,57,富田暁,1:46.1,5,137.1,13,502(+14),[西] 谷潔
2,3,6,11,ウインアウォード,牡3,54,松山弘平,1:46.3,1.1/4,10.0,6,508(-6),[西] 杉山晴紀
3,4,2,3,エピックジョイ,牝3,52,北村友一,1:46.5,1.1/2,22.6,8,490(+20),[西] 武幸四郎
4,5,3,5,ソウルユニバンス,セ5,57,黒岩悠,1:46.7,1.1/4,29.3,10,472(-6),[西] 平田修
5,6,8,15,フォーランマリア,牝3,52,西村淳也,1:47.0,1.3/4,35.5,11,412(+12),[西] 森田直行
6,7,8,16,インテンスフレイム,牡4,57,ホー,1:47.2,1,5.6,4,520(+6),[西] 千田輝彦
7,8,1,1,パナプリ,牡4,57,藤懸貴志,1:47.4,1.1/2,228.6,15,442(-10),[西] 牧田和弥
8,9,3,6,マルヨミニスター,牝3,52,幸英明,1:47.5,1/2,5.3,3,490(-8),[西] 牧田和弥
9,10,2,4,スエトニウス,牡3,50,永島まな,1:48.1,3.1/2,9.7,5,464(0),[西] 藤原英昭
10,11,4,7,シュガーコルト,セ3,51,角田大河,1:48.2,3/4,72.8,12,480(-4),[西] 寺島良
11,12,6,12,クリノヴジュアル,牡5,54,服部寿希,1:48.3,1/2,202.2,14,504(+10),[西] 川村禎彦
12,13,5,10,チェンジザワールド,牡3,54,国分恭介,1:48.7,2.1/2,4.8,2,508(+4),[西] 五十嵐忠
13,14,4,8,メイショウカゲカツ,牡3,54,和田竜二,1:49.8,7,4.0,1,496(0),[西] 西園正都
14,15,7,13,パフドラム,牡4,55,松本大輝,1:52.1,大,300.6,16,508(-4),[西] 四位洋文
15,16,7,14,タイキスパルタン,牡3,54,団野大成,1:53.7,10,23.6,9,506(-2),[西] 辻野泰之
