,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,2,3,メイショウブレゲ,牡3,52,今村聖奈,2:38.9,,3.7,2.0,448(-8),[西] 本田優
1,2,2,4,ロックバウンド,牡3,55,小沢大仁,2:39.4,3,34.6,9.0,464(+1),[西] 松永昌博
2,3,7,14,カルトゥーシュ,牡3,56,鮫島克駿,2:39.4,アタマ,4.8,3.0,470(0),[西] 松下武士
3,4,8,15,ショウナンパラボラ,牡3,56,団野大成,2:39.7,1.1/2,48.8,10.0,428(+2),[西] 吉村圭司
4,5,4,7,ヴィクトールドパリ,牡3,56,酒井学,2:40.0,2,25.5,6.0,466(-2),[西] 西園正都
5,6,8,16,ストライクファイア,牡3,56,藤岡佑介,2:40.4,2.1/2,2.2,1.0,450(-6),[西] 中内田充
6,7,5,9,ハイグッドエース,牡3,56,秋山真一,2:40.6,1.1/2,27.5,7.0,420(-6),[西] 大根田裕
7,8,5,10,ブリーザフレスカ,牝3,54,松若風馬,2:40.7,クビ,28.8,8.0,486(-6),[西] 高野友和
8,9,4,8,ヴァレプロフォンダ,牡3,56,高倉稜,2:40.7,ハナ,12.6,4.0,492(-2),[西] 杉山晴紀
9,10,3,6,ライラックワイン,牝3,54,西村淳也,2:40.8,1/2,58.0,11.0,412(0),[西] 松永幹夫
10,11,6,11,サエル,牝3,54,藤岡康太,2:41.1,1.3/4,93.5,12.0,488(+4),[西] 野中賢二
11,12,7,13,エバーフレッシュ,牝3,52,松本大輝,2:41.5,2.1/2,157.0,13.0,484(+6),[西] 松永幹夫
12,13,1,2,クラトス,セ3,56,幸英明,2:42.8,8,312.3,15.0,418(-6),[西] 高橋義忠
13,14,1,1,フォアランナー,牡3,56,北村友一,2:44.0,7,19.4,5.0,520(+8),[西] 西村真幸
14,15,3,5,ブンダクリフス,牡3,56,国分恭介,2:44.9,5,231.1,14.0,478(-6),[西] 寺島良
15,除,6,12,ナリタイチモンジ,牡3,56,富田暁,,,---,,482(0),[西] 木原一良
