,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,1,1,バレリーナ,牝2,54,西村淳也,1:08.9,,2.1,1,454(0),[西] 清水久詞
1,2,2,2,トーホウビエント,牝2,54,藤岡康太,1:09.5,3.1/2,3.2,2,444(0),[西] 高橋亮
2,3,8,9,スリーブリランテ,牡2,54,鮫島克駿,1:09.8,1.3/4,6.4,3,472(0),[西] 長谷川浩
3,4,7,7,ティリア,牝2,54,中井裕二,1:10.2,2.1/2,15.5,5,458(0),[西] 村山明
4,5,8,8,クリノアグレッシブ,牡2,54,田中健,1:10.2,アタマ,82.9,8,496(0),[西] 荒川義之
5,6,4,4,ドライグ,牡2,54,幸英明,1:10.5,2,9.1,4,468(0),[西] 大根田裕
6,7,3,3,ディオーネ,牝2,54,城戸義政,1:10.6,3/4,40.2,7,438(0),[西] 杉山佳明
7,8,6,6,ポーラーサンダー,牡2,54,富田暁,1:10.8,1.1/4,22.3,6,450(0),[西] 笹田和秀
8,9,5,5,ロイヤルホープ,牝2,54,鮫島良太,1:12.1,8,102.9,9,424(0),[西] 宮徹
