,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,3,6,ブランアルディ,牝3,54,西村淳也,1:46.1,,2.3,1,484(0),[西] 辻野泰之
1,2,5,9,エルザストラウム,牝3,50,今村聖奈,1:46.5,2.1/2,3.3,2,448(+4),[西] 武幸四郎
2,3,1,2,ポットマム,牝3,54,幸英明,1:46.5,ハナ,91.9,10,468(+4),[西] 田中克典
3,4,5,10,エイシンブラボー,牝3,51,角田大河,1:46.9,2.1/2,6.5,3,408(0),[西] 渡辺薫彦
4,5,7,14,クリニエールグラス,牝3,54,和田竜二,1:47.1,1,48.8,8,440(0),[西] 浜田多実
5,6,7,13,グリーンシアター,牝3,54,国分恭介,1:47.2,3/4,45.6,7,444(+8),[西] 加用正
6,7,4,8,ラストファンタジー,牝3,54,松山弘平,1:47.4,1.1/4,8.9,4,488(+8),[西] 吉岡辰弥
7,8,1,1,アジアンライナー,牝3,54,太宰啓介,1:47.6,1.1/4,169.4,14,494(+4),[西] 上村洋行
8,9,6,11,ソプラヴェステ,牝3,52,松本大輝,1:47.8,3/4,183.5,15,460(+6),[西] 坂口智康
9,10,8,15,セントレア,牝3,54,ホー,1:48.4,3.1/2,92.8,11,468(+6),[西] 安田隆行
10,11,2,3,ワンダーベール,牝3,54,松若風馬,1:48.5,1/2,144.4,12,414(0),[西] 吉村圭司
11,12,6,12,ノンズブレス,牝3,54,団野大成,1:48.5,クビ,20.6,6,454(+3),[西] 石橋守
12,13,3,5,スマートグランデ,牝3,50,永島まな,1:48.7,3/4,9.4,5,490(+6),[西] 石坂公一
13,14,4,7,タマモエストレジャ,牝3,54,富田暁,1:50.1,9,272.3,16,484(0),[西] 池添兼雄
14,15,8,16,ビュークレスト,牝3,53,亀田温心,1:50.3,1.1/2,166.7,13,462(+2),[西] 北出成人
15,16,2,4,サンサンタイヨウ,牝3,54,高倉稜,1:52.9,大,72.0,9,434(-2),[西] 渡辺薫彦
