,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,6,12,リアンクール,牝4,53,北村友一,1:45.7,,3.1,1,490(0),[西] 安田隆行
1,2,1,1,カラレーション,牝4,52,西村淳也,1:45.7,クビ,21.0,9,420(-2),[西] 松下武士
2,3,3,5,イチネンエーグミ,牡3,52,国分恭介,1:46.0,1.1/2,7.0,3,542(-4),[西] 茶木太樹
3,4,6,11,アーテルアストレア,牝3,51,酒井学,1:46.0,アタマ,5.9,2,454(+4),[西] 橋口慎介
4,5,5,9,サンバデジャネイロ,牝4,52,団野大成,1:46.2,1.1/2,39.2,10,448(+8),[西] 奥村豊
5,6,3,6,メイショウミズモ,牝4,53,藤岡康太,1:46.4,1.1/4,8.1,5,410(-6),[西] 笹田和秀
6,7,8,16,ピンクダイヤ,牡3,51,松本大輝,1:46.5,クビ,40.1,11,474(+10),[西] 森秀行
7,8,2,3,ルドンカズマ,牡5,54,亀田温心,1:46.6,1/2,12.0,6,496(-2),[西] 杉山晴紀
8,9,1,2,ラグラスドシエル,牝4,52,松若風馬,1:46.7,3/4,14.2,7,454(+8),[西] 中村直也
9,10,7,14,フェアレストアイル,牝5,53,鮫島克駿,1:47.0,1.3/4,19.1,8,458(-4),[西] 長谷川浩
10,11,4,7,イグナーツ,牡6,54,富田暁,1:47.0,クビ,73.0,14,496(+4),[西] 中竹和也
11,12,8,15,ハイパーノヴァ,セ8,55,幸英明,1:47.0,ハナ,51.6,13,490(-6),[西] 大根田裕
12,13,5,10,パラノイド,牝4,52,荻野極,1:47.3,2,46.4,12,484(+14),[東] 萩原清
13,14,7,13,ボルカンバル,セ4,53,中井裕二,1:47.4,1/2,73.5,15,464(+5),[西] 村山明
14,15,2,4,ラヤス,牡3,53,今村聖奈,1:47.5,クビ,8.0,4,514(-2),[西] 森秀行
15,16,4,8,ドゥリトル,牡7,52,小沢大仁,1:47.8,1.3/4,352.6,16,492(+4),[西] 村山明
