,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,1,1,マテンロウスカイ,牡3,54,横山典弘,1:46.0,,1.6,1,480(-6),[西] 松永幹夫
1,2,3,3,アウサンガテ,牡5,57,川田将雅,1:46.4,2.1/2,5.4,2,442(-4),[西] 中内田充
2,3,8,9,ボルザコフスキー,牡3,54,松山弘平,1:46.6,1.1/2,6.9,4,508(+6),[西] 清水久詞
3,4,4,4,アメイジングタイム,牡4,57,ホー,1:46.7,クビ,17.4,5,442(0),[西] 田中克典
4,5,6,6,シゲルイワイザケ,牝3,52,和田竜二,1:46.9,1.1/4,5.5,3,474(-6),[西] 渡辺薫彦
5,6,2,2,グルーヴビート,牡4,57,浜中俊,1:47.2,2,38.8,7,478(+4),[西] 矢作芳人
6,7,7,7,ハイグッドエース,牡3,52,小沢大仁,1:47.3,クビ,141.4,10,426(-2),[西] 大根田裕
7,8,8,10,スプリッツァー,牡5,57,川須栄彦,1:47.7,2.1/2,123.0,9,466(-10),[東] 菊沢隆徳
8,9,7,8,サンライズヘルメス,牡5,57,幸英明,1:47.8,クビ,33.7,6,490(+2),[西] 河内洋
9,10,5,5,ロードラプソディ,牡3,54,富田暁,1:47.8,クビ,55.0,8,480(-8),[西] 松下武士
