,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,6,11,メイショウケイガン,牡3,56,横山典弘,2:00.2,,3.2,2,510(-6),[西] 河内洋
1,2,8,17,ルージュラジョア,牝3,54,福永祐一,2:00.4,1.1/2,2.5,1,464(+8),[西] 西村真幸
2,3,7,14,マノンルージュ,牡3,56,富田暁,2:00.5,1/2,9.7,3,462(-6),[西] 野中賢二
3,4,6,12,バクシンフォワード,牡3,55,小沢大仁,2:00.8,2,67.4,12,456(-2),[西] 清水久詞
4,5,7,15,ベッロジョヴァンニ,牡3,56,和田竜二,2:01.0,1,38.0,11,452(-2),[西] 高野友和
5,6,1,2,ショウナンパラボラ,牡3,52,今村聖奈,2:01.1,クビ,16.7,6,430(+2),[西] 吉村圭司
6,7,5,9,ニシノクレセント,牡3,56,松山弘平,2:01.1,ハナ,16.5,5,506(+6),[西] 長谷川浩
7,8,8,18,リヴィア,牝3,54,北村友一,2:01.1,ハナ,25.8,8,422(0),[西] 安田翔伍
8,9,3,6,サトノソラーレ,牡3,56,坂井瑠星,2:01.5,2.1/2,21.5,7,422(-4),[西] 矢作芳人
9,10,3,5,ロノマクア,牡3,52,永島まな,2:01.6,クビ,27.0,9,494(-12),[西] 池江泰寿
10,11,4,7,ラブカヒルー,牝3,54,秋山真一,2:01.6,クビ,31.9,10,436(-6),[西] 森田直行
11,12,4,8,セルリアンルネッタ,牡3,53,角田大河,2:01.8,3/4,91.6,15,456(+4),[西] 高橋康之
12,13,2,3,ベガエクスプレス,牝3,54,中井裕二,2:01.8,ハナ,79.4,14,432(0),[西] 鈴木孝志
13,14,5,10,キタサンエポナ,牝3,54,団野大成,2:01.8,クビ,13.2,4,436(-8),[西] 斉藤崇史
14,15,7,13,ヴィクトールドパリ,牡3,56,酒井学,2:02.0,1.1/4,68.3,13,458(-8),[西] 西園正都
15,16,8,16,スリードゥラメンテ,牡3,55,泉谷楓真,2:02.0,クビ,138.8,16,456(-4),[西] 南井克巳
16,17,1,1,タボン,牡3,56,森裕太朗,2:02.5,2.1/2,441.5,18,460(-7),[西] 安達昭夫
17,18,2,4,ファジュル,牡3,56,西村淳也,2:05.7,大,139.8,17,438(0),[西] 辻野泰之
