,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,16,サツマノオンナ,牝2,55,藤岡康太,1:08.9,,2.0,1,444(+4),[西] 新谷功一
1,2,2,3,テイエムユメキュウ,牝2,55,鮫島良太,1:09.4,3,5.8,3,448(+4),[西] 飯田雄三
2,3,5,10,ゴーツウキリシマ,牝2,53,幸英明,1:09.5,1/2,25.0,4,444(-12),[西] 牧田和弥
3,4,7,13,コウユーオモイノセ,牡2,53,和田竜二,1:09.8,2,34.7,7,478(+6),[西] 斉藤崇史
4,5,6,12,カシノスターリング,牡2,53,酒井学,1:09.9,1/2,81.3,8,458(-4),[東] 天間昭一
5,6,7,14,エイヨーチャクラ,牝2,53,亀田温心,1:09.9,アタマ,88.0,9,438(0),[西] 牧田和弥
6,7,3,5,オバケノキンタ,牡2,55,小沢大仁,1:10.0,1/2,2.9,2,440(+2),[西] 大根田裕
7,8,6,11,ネオシエル,牡2,55,山口勲,1:10.1,クビ,182.6,11,468(-12),[地] 真島元徳
8,9,4,7,キリシマラッキー,牡2,53,城戸義政,1:10.3,1.1/2,426.9,16,440(+2),[東] 石毛善彦
9,10,8,15,セロンテソーロ,牝2,53,永島まな,1:10.7,2.1/2,30.3,6,418(0),[東] 加藤和宏
10,11,3,6,カシノジャッカル,牡2,53,田中健,1:11.0,2,469.6,17,386(-12),[西] 北出成人
11,12,8,17,カムカムキリシマ,牝2,53,今村聖奈,1:11.5,3,25.9,5,430(0),[西] 笹田和秀
12,13,1,1,カシノスパイス,牡2,55,飛田愛斗,1:11.8,2,220.2,13,414(-6),[地] 古賀光範
13,14,5,9,カシノアルバ,牡2,53,川須栄彦,1:12.2,2.1/2,235.7,14,442(+4),[東] 和田雄二
14,15,1,2,テイエムハヤカケン,牡2,53,富田暁,1:12.2,ハナ,206.4,12,490(-6),[西] 木原一良
15,16,2,4,タイムオブライフ,牝2,55,田中直人,1:13.4,7,149.3,10,446(-22),[地] 矢野久美
16,17,4,8,ヒイズル,牝2,55,吉本隆記,1:14.8,8,293.1,15,388(-3),[地] 井樋明正
