,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,1,1,ボンボヤージ,牝5,51,川須栄彦,1:06.9,,164.3,16,438(+8),[西] 梅田智之
1,2,2,3,タイセイビジョン,牡5,57,川田将雅,1:07.1,1.1/4,6.2,3,476(-2),[西] 西村真幸
2,3,8,16,ナムラクレア,牝3,53,浜中俊,1:07.1,クビ,2.1,1,470(+8),[西] 長谷川浩
3,4,1,2,アネゴハダ,牝3,49,酒井学,1:07.2,3/4,8.7,4,450(+14),[西] 佐々木晶
4,5,5,9,モントライゼ,牡4,55,幸英明,1:07.3,クビ,179.0,17,508(+2),[西] 松永幹夫
5,6,7,15,フレッチア,牡7,54,ホー,1:07.4,クビ,88.0,14,494(-2),[東] 木村哲也
6,7,2,4,テイエムスパーダ,牝3,51,国分恭介,1:07.4,クビ,4.6,2,488(+2),[西] 五十嵐忠
7,8,7,14,ディヴィナシオン,牡5,54,横山典弘,1:07.5,クビ,22.0,6,466(+2),[西] 森秀行
8,9,3,6,ザイツィンガー,牡6,53,今村聖奈,1:07.5,クビ,80.5,13,434(+6),[西] 牧田和弥
9,10,7,13,ファストフォース,牡6,56,松山弘平,1:07.5,ハナ,26.2,8,510(+2),[西] 西村真幸
10,11,8,18,キャプテンドレイク,牡5,55,藤岡康太,1:07.7,1,19.6,5,486(+4),[西] 今野貞一
11,12,6,12,メイショウチタン,牡5,54,和田竜二,1:07.7,ハナ,58.1,10,474(+4),[西] 本田優
12,13,6,11,チェアリングソング,牡5,54,団野大成,1:07.7,アタマ,61.7,11,464(-2),[東] 青木孝文
13,14,3,5,レジェーロ,牝5,54,西村淳也,1:07.9,1.1/4,108.9,15,422(-2),[西] 西村真幸
14,15,4,7,シンシティ,牝5,53,富田暁,1:08.1,1.1/4,24.4,7,480(-2),[西] 木原一良
15,16,5,10,カレンロマチェンコ,牡4,54,松若風馬,1:08.2,3/4,219.4,18,468(-6),[西] 高柳大輔
16,17,8,17,ジャンダルム,牡7,58,荻野極,1:08.9,4,38.9,9,510(-4),[西] 池江泰寿
17,18,4,8,ビオグラフィー,牝5,54,北村友一,1:09.1,1,79.1,12,500(+14),[西] 藤岡健一
