,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,11,レッドベルオーブ,牡4,56,幸英明,1:45.5,,3.9,2,482(-2),[西] 藤原英昭
1,2,7,9,シュヴァリエローズ,牡4,56,北村友一,1:46.0,3,4.5,3,452(+4),[西] 清水久詞
2,3,6,6,ヴァリアメンテ,牡4,56,藤岡佑介,1:46.1,1/2,3.7,1,476(+6),[西] 中内田充
3,4,6,7,ナイママ,牡6,56,国分優作,1:46.2,1/2,50.3,10,484(-10),[東] 武藤善則
4,5,1,1,アーデントリー,牡6,56,中井裕二,1:46.3,1,24.2,7,444(+2),[西] 川村禎彦
5,6,2,2,コスモカレンドゥラ,牡6,56,団野大成,1:46.3,アタマ,42.5,9,466(0),[東] 田中博康
6,7,7,8,ソリタリオ,牡3,53,鮫島克駿,1:46.3,クビ,5.3,4,492(+6),[西] 西村真幸
7,8,3,3,レッドフラヴィア,牝5,54,藤懸貴志,1:46.4,クビ,19.2,6,514(-4),[西] 平田修
8,9,8,10,エヴァーガーデン,牝5,54,西村淳也,1:46.5,1/2,7.4,5,486(+2),[東] 深山雅史
9,10,5,5,アドマイヤポラリス,牡6,56,今村聖奈,1:46.7,1.1/2,25.0,8,482(-6),[西] 友道康夫
10,11,4,4,エターナルヴィテス,牡6,56,富田暁,1:47.0,2,106.7,11,476(-4),[東] 松山将樹
