,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,8,14,ボンボンショコラ,牝5,55,松若風馬,0:58.2,,9.1,4,482(+4),[西] 小崎憲
1,2,8,13,ショウゲッコウ,牝5,55,中井裕二,0:58.5,1.3/4,4.2,1,470(-2),[西] 杉山佳明
2,3,1,1,ジャスパーゴールド,牡4,57,松本大輝,0:58.8,1.3/4,47.0,11,470(+16),[西] 森秀行
3,4,6,9,パワフルヒロコ,牝8,55,酒井学,0:58.8,アタマ,23.2,10,452(0),[西] 飯田雄三
4,5,3,4,プラチナムレイアー,牡4,57,西村淳也,0:58.8,クビ,4.7,2,490(+6),[西] 吉岡辰弥
5,6,6,10,エルズリー,牝6,55,藤岡康太,0:58.9,クビ,10.2,8,528(0),[西] 吉岡辰弥
6,7,7,12,フォルツァエフ,牡7,57,幸英明,0:58.9,クビ,7.0,3,502(+10),[西] 森秀行
7,8,2,2,アッティーヴォ,牡8,57,秋山真一,0:58.9,アタマ,9.6,6,454(-4),[西] 大根田裕
8,9,4,6,ジェットエンブレム,牡4,57,鮫島克駿,0:58.9,アタマ,10.1,7,514(-8),[西] 石坂公一
9,10,5,8,ラホーヤノキセキ,牡8,57,小沢大仁,0:58.9,クビ,9.2,5,492(-6),[西] 松永昌博
10,11,3,3,レジェモー,牝5,55,加藤祥太,0:59.2,1.3/4,50.3,12,440(+6),[西] 杉山佳明
11,12,5,7,テンテキセンセキ,牡5,57,今村聖奈,0:59.3,1/2,21.9,9,480(+6),[西] 松永昌博
12,13,4,5,チェリーブリーズ,牝5,55,大庭和弥,1:00.0,4,118.7,13,484(+8),[東] 堀内岳志
13,14,7,11,キングキャヴィア,牡5,57,城戸義政,1:00.5,3,369.4,14,524(0),[西] 服部利之
