,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,3,3,オーロベルディ,牝3,51,亀田温心,0:58.0,,5.9,3,480(+8),[西] 池添兼雄
1,2,7,10,ユウグロスファクタ,牝3,52,西村淳也,0:58.8,5,2.8,1,496(+2),[西] 新谷功一
2,3,8,12,タガノトランキーロ,牡5,56,小沢大仁,0:59.4,3.1/2,6.9,4,496(-2),[西] 石橋守
3,4,5,7,グッドウッドガイ,牡3,54,中井裕二,0:59.4,クビ,17.0,6,496(-6),[西] 村山明
4,5,4,4,メイショウアゴニカ,牝5,55,富田暁,0:59.6,1,97.0,10,504(-6),[西] 河内洋
5,6,6,9,ゴールドレッグス,セ4,53,今村聖奈,0:59.7,クビ,8.2,5,516(0),[西] 新谷功一
6,7,7,11,ジョーフェイス,牡3,54,藤懸貴志,0:59.7,ハナ,116.0,12,484(0),[西] 小崎憲
7,8,4,5,ヤマタカフェイス,牡3,54,国分優作,0:59.7,ハナ,3.3,2,488(-4),[西] 辻野泰之
8,9,2,2,アドバンスドリーム,牡3,52,松本大輝,0:59.7,クビ,42.2,8,512(+10),[西] 森秀行
9,10,1,1,アルムブラーヴ,牡3,54,鮫島克駿,0:59.9,1.1/4,25.6,7,474(-2),[西] 川村禎彦
10,11,8,13,ローズファラオ,牝4,51,永島まな,1:00.0,3/4,79.5,9,398(-2),[西] 坂口智康
11,12,6,8,ベッサラビア,セ5,57,森裕太朗,1:00.5,3,321.2,13,458(+6),[西] 橋田満
12,13,5,6,カネトシバレンシア,牝4,55,田中健,1:00.5,ハナ,97.7,11,442(-8),[西] 飯田祐史
