,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,2,2,スノーテーラー,牝5,55,浜中俊,1:06.9,,15.4,6,454(0),[西] 飯田雄三
1,2,6,7,カフジテトラゴン,牝3,52,富田暁,1:07.4,3,2.3,1,450(+2),[西] 武英智
2,3,3,3,ブレスレスリー,牝3,52,藤岡康太,1:07.7,1.1/2,3.7,2,466(+2),[西] 藤岡健一
3,4,5,5,チャイカ,牝5,55,西村淳也,1:07.8,3/4,12.6,5,478(+4),[西] 今野貞一
4,5,7,9,ドナウエレン,牝4,55,北村友一,1:07.9,1/2,5.1,3,484(-8),[西] 高野友和
5,6,6,8,カシノフォワード,セ4,57,川須栄彦,1:07.9,アタマ,35.8,7,436(+2),[東] 蛯名利弘
6,7,4,4,イルデレーヴ,牡4,57,ホー,1:08.0,クビ,62.9,10,488(+4),[西] 池添学
7,8,7,10,カレンヒメ,牝5,55,川田将雅,1:08.1,3/4,7.8,4,432(+2),[西] 安田翔伍
8,9,8,12,シオミチクレバ,牝5,55,団野大成,1:08.2,1/2,82.0,11,504(-2),[西] 牧浦充徳
9,10,8,11,デアリングウーマン,牝4,55,松山弘平,1:08.6,2.1/2,58.3,9,446(-4),[西] 角田晃一
10,11,5,6,シゲルセンム,牝4,55,秋山真一,1:09.0,2.1/2,50.1,8,452(-6),[西] 谷潔
11,12,1,1,ロードクラージュ,セ5,57,和田竜二,1:10.4,8,237.2,12,466(0),[西] 安田隆行
