,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
0,1,5,9,ワンダーブレット,セ3,56,小牧太,1:45.3,,5.8,2,490(-2),[西] 笹田和秀
1,2,3,5,グローレジェンド,牡3,56,北村友一,1:46.1,5,88.7,13,520(-4),[西] 矢作芳人
2,3,1,1,アダマスミノル,牡3,56,武豊,1:46.2,クビ,10.9,5,478(-6),[西] 北出成人
3,4,5,8,ミステリーボックス,セ3,56,松山弘平,1:46.3,3/4,31.9,10,498(+6),[西] 羽月友彦
4,5,2,2,ウインヴェルデ,牡3,56,和田竜二,1:46.4,1/2,31.5,9,484(+6),[西] 加用正
5,6,6,11,コンジャンクション,牡3,56,西村淳也,1:46.4,ハナ,24.3,8,482(-6),[西] 池添学
6,7,7,13,シャンバラ,牡3,56,福永祐一,1:47.0,3.1/2,2.1,1,508(+8),[西] 橋口慎介
7,8,8,14,オリエンタルキング,牡3,56,高倉稜,1:47.0,クビ,112.2,14,500(-14),[西] 杉山晴紀
8,9,6,10,ワンダージュノ,牡3,56,坂井瑠星,1:47.1,クビ,57.7,11,498(+6),[西] 森田直行
9,10,4,7,タイセイストラーダ,牡3,56,国分恭介,1:47.1,クビ,19.7,7,478(0),[西] 牧浦充徳
10,11,2,3,ドンシャーク,牡3,55,小沢大仁,1:47.3,1.1/4,7.5,3,488(-2),[西] 今野貞一
11,12,4,6,テーオーインパクト,牡3,53,川端海翼,1:47.4,クビ,163.4,15,506(+6),[西] 宮徹
12,13,7,12,ヒノデテイオー,牡3,52,今村聖奈,1:47.7,2,8.6,4,444(0),[西] 河内洋
13,14,8,15,サクラトップヒル,牡3,52,永島まな,1:48.6,5,14.9,6,480(-6),[西] 佐々木晶
14,15,3,4,ラウドスピリッツ,牡3,54,松本大輝,1:49.8,7,59.4,12,496(+2),[西] 橋口慎介
